Ticker,total_reports,bps_win_rate_5,bcs_win_rate_5,ic_win_rate_5,ic_win_rate_3,ic_win_rate_7,avg_abs_move
AAPL,12,100.0,91.67,91.67,66.67,91.67,2.84
ABT,12,91.67,100.0,91.67,58.33,91.67,3.42
AES,12,100.0,91.67,91.67,75.0,100.0,1.76
AMAT,12,58.33,83.33,41.67,25.0,50.0,6.24
AMD,12,58.33,83.33,41.67,33.33,58.33,6.27
AMZN,12,75.0,58.33,33.33,16.67,58.33,6.39
ANET,12,50.0,58.33,8.33,0.0,33.33,8.37
AVGO,12,75.0,75.0,50.0,25.0,66.67,7.68
BAC,12,100.0,100.0,100.0,75.0,100.0,1.77
BMY,12,100.0,91.67,91.67,50.0,100.0,2.88
BSX,12,91.67,75.0,66.67,33.33,91.67,3.99
C,12,100.0,100.0,100.0,83.33,100.0,1.72
CAG,12,83.33,91.67,75.0,75.0,91.67,2.97
CCL,12,91.67,91.67,83.33,58.33,100.0,2.94
CMCSA,12,66.67,91.67,58.33,25.0,66.67,4.69
CMG,12,58.33,91.67,50.0,33.33,75.0,6.29
COIN,12,91.67,83.33,75.0,50.0,75.0,4.36
CPRT,12,75.0,91.67,66.67,58.33,91.67,3.17
CRM,12,83.33,75.0,58.33,33.33,75.0,5.58
CSCO,12,83.33,66.67,50.0,33.33,75.0,5.5
CSGP,12,58.33,100.0,58.33,41.67,83.33,3.72
CSX,12,91.67,91.67,83.33,50.0,100.0,3.06
CTSH,12,100.0,83.33,83.33,33.33,83.33,3.85
CVNA,12,75.0,33.33,8.33,0.0,41.67,15.4
CVS,12,91.67,58.33,50.0,41.67,66.67,5.91
CVX,12,100.0,100.0,100.0,100.0,100.0,1.33
D,12,100.0,100.0,100.0,83.33,100.0,1.24
DELL,12,58.33,58.33,16.67,8.33,41.67,12.35
DIS,12,75.0,66.67,41.67,33.33,58.33,5.68
DOC,12,100.0,91.67,91.67,91.67,100.0,1.96
DOW,12,91.67,91.67,83.33,50.0,83.33,3.46
DVN,12,91.67,100.0,91.67,58.33,100.0,2.36
EXC,12,100.0,100.0,100.0,83.33,100.0,1.55
F,12,66.67,91.67,58.33,41.67,83.33,4.01
FCX,12,91.67,91.67,83.33,66.67,91.67,3.21
GEN,12,91.67,75.0,66.67,33.33,91.67,4.61
GIS,12,91.67,91.67,83.33,58.33,83.33,3.19
GLW,12,75.0,66.67,41.67,25.0,75.0,5.18
GOOG,12,66.67,58.33,33.33,0.0,75.0,6.16
GOOGL,12,66.67,58.33,25.0,0.0,75.0,6.34
HAL,12,83.33,91.67,75.0,66.67,83.33,3.31
HBAN,12,100.0,100.0,100.0,75.0,100.0,1.72
HOOD,12,58.33,75.0,33.33,16.67,41.67,7.61
HPE,12,75.0,75.0,50.0,16.67,50.0,9.41
HPQ,12,66.67,100.0,66.67,41.67,83.33,4.57
HST,12,91.67,100.0,91.67,66.67,91.67,2.72
IBM,12,50.0,75.0,25.0,16.67,50.0,6.07
INTC,12,50.0,66.67,16.67,8.33,41.67,10.3
JPM,12,100.0,100.0,100.0,91.67,100.0,1.34
KDP,12,100.0,83.33,83.33,33.33,91.67,3.96
KEY,12,100.0,100.0,100.0,66.67,100.0,2.44
KHC,12,91.67,100.0,91.67,66.67,100.0,2.47
KMI,12,100.0,100.0,100.0,100.0,100.0,1.31
KO,12,100.0,91.67,91.67,66.67,100.0,2.09
KVUE,12,100.0,75.0,75.0,41.67,83.33,4.58
LRCX,12,83.33,83.33,66.67,41.67,83.33,4.09
MCHP,12,75.0,91.67,66.67,33.33,83.33,4.37
MDT,12,83.33,100.0,83.33,41.67,100.0,2.97
META,12,75.0,50.0,25.0,16.67,25.0,8.61
MO,12,100.0,91.67,91.67,58.33,91.67,2.68
MOS,12,91.67,91.67,83.33,66.67,91.67,2.89
MRK,12,83.33,100.0,83.33,66.67,91.67,3.04
MSFT,12,83.33,83.33,66.67,33.33,75.0,4.32
MU,12,83.33,66.67,50.0,25.0,50.0,7.94
NCLH,12,58.33,75.0,33.33,8.33,50.0,7.09
NEE,12,100.0,91.67,91.67,83.33,100.0,1.69
NFLX,12,58.33,66.67,25.0,25.0,50.0,7.67
NKE,12,41.67,75.0,16.67,16.67,41.67,8.73
NOW,12,75.0,66.67,41.67,16.67,50.0,6.9
NVDA,12,100.0,58.33,58.33,50.0,83.33,3.85
ON,12,83.33,83.33,66.67,33.33,83.33,4.34
ORCL,12,66.67,41.67,8.33,0.0,16.67,11.35
OXY,12,91.67,91.67,83.33,75.0,100.0,2.49
PANW,12,58.33,83.33,50.0,25.0,75.0,7.02
PCG,12,100.0,100.0,100.0,100.0,100.0,0.69
PFE,12,100.0,100.0,100.0,83.33,100.0,1.55
PG,12,100.0,91.67,91.67,50.0,100.0,2.67
PLTR,12,75.0,41.67,16.67,8.33,25.0,11.96
PPL,12,100.0,100.0,100.0,100.0,100.0,0.87
PYPL,12,41.67,75.0,16.67,8.33,41.67,8.04
QCOM,12,58.33,75.0,33.33,8.33,75.0,6.18
RF,12,91.67,91.67,83.33,66.67,91.67,2.91
SCHW,12,83.33,83.33,66.67,58.33,83.33,3.5
SLB,12,100.0,100.0,100.0,100.0,100.0,1.51
SMCI,12,50.0,58.33,8.33,0.0,25.0,12.09
T,12,100.0,91.67,91.67,50.0,91.67,3.11
TSCO,12,75.0,91.67,66.67,50.0,91.67,3.53
TSLA,12,66.67,66.67,33.33,8.33,58.33,6.97
TTD,12,50.0,83.33,33.33,33.33,33.33,13.89
TXN,12,75.0,75.0,50.0,8.33,58.33,5.99
UBER,12,83.33,83.33,66.67,50.0,91.67,3.82
USB,12,91.67,100.0,91.67,75.0,100.0,1.83
V,12,100.0,91.67,91.67,58.33,91.67,2.41
VTRS,12,91.67,91.67,83.33,50.0,91.67,4.01
VZ,12,100.0,83.33,83.33,50.0,100.0,3.4
WBD,12,75.0,83.33,58.33,50.0,58.33,5.13
WFC,12,91.67,91.67,83.33,50.0,100.0,3.53
WMT,12,83.33,83.33,66.67,33.33,83.33,4.21
XOM,12,100.0,100.0,100.0,100.0,100.0,1.19
ZTS,12,66.67,83.33,50.0,50.0,83.33,5.7
